index,Parameter A,Parameter B,454,458,462,466,470,474,478,482,486,490,494,498,502,506,510,514,518,522,526,530,534,538,542,546,550,554,558,562,566,570,574,578,582,586,590,594,598,602,606,610,614,618,622,626,630,634,638,642,646,650,654,658,662,666,670,674,678,682,686,690,694,698,702,706,710,714,718,722,726,730,734,738,742,746,750,754,758,762,766,770,774,778,782,786,790,794,798,802,806,810,814,818,822,826,830,834,838,842,846,850,854,858,862,866,870,874,878,882,886,890,894,898,902,906,910,914,918,922,926,930,934,938,942,946,950
0,33.51,34.8,0.08213070725,0.05586301191,0.05004707249,0.04792453699,0.04749805591,0.04646400751,0.04666904081,0.04683439784,0.04746938703,0.04860784613,0.04934306333,0.05032136014,0.05130820378,0.05323688138,0.05427658701,0.05591405148,0.05752556611,0.05933991209,0.06095742247,0.06254284839,0.06410492407,0.06615767855,0.06775160973,0.06953802899,0.07126913111,0.0728902611,0.0750496777,0.07727250667,0.07861510939,0.08079698979,0.08232195849,0.08487348273,0.08652608349,0.08789581501,0.08929853769,0.09078346948,0.09193711013,0.09322425617,0.0943852809,0.09552530526,0.09654028687,0.09731437649,0.09864262239,0.09972705638,0.1003154559,0.1009700664,0.1024446789,0.1031579116,0.1043301291,0.1055021256,0.1067472113,0.107807949,0.1089715273,0.1100620228,0.1114752317,0.1124077917,0.1140257242,0.1154279883,0.1166556695,0.1175629208,0.1186043615,0.1202973691,0.1215399425,0.1229016566,0.1241276076,0.1253885886,0.1269150184,0.1282545952,0.1294561902,0.1305595029,0.1317028831,0.1330317551,0.1342312797,0.135413062,0.1367046047,0.1378789024,0.1388253727,0.139681557,0.1401104885,0.1409608438,0.1417176962,0.1421646668,0.1432397794,0.1444167622,0.1452369257,0.1455949363,0.145843167,0.146071644,0.1465495666,0.1467538213,0.1472108877,0.1475901404,0.1478604046,0.1480426401,0.1482733862,0.1481683497,0.1483055988,0.1486952454,0.1491687769,0.1496208439,0.1499886166,0.1500423583,0.1500731351,0.1505044885,0.1508034057,0.1509359811,0.1509012267,0.1509223895,0.1511556048,0.1511567943,0.1519438624,0.1524158975,0.1527188428,0.1530320347,0.1528998421,0.1528445418,0.1526147887,0.1529269481,0.1542403584,0.155018483,0.1547248545,0.1546816151,0.1542747248,0.1534769851,0.1539288861
1,33.49,35.2,0.07951013937,0.05532617055,0.04911613762,0.0475790426,0.04674491582,0.04683266812,0.04632863588,0.04702114618,0.04765995695,0.04827156047,0.04908577093,0.05025459453,0.05146483709,0.05275834867,0.05427186089,0.05541318601,0.05724476382,0.0587946904,0.06066557785,0.06212921163,0.06388096373,0.06563922425,0.06765133851,0.06908763695,0.07092081379,0.07293771575,0.07458395257,0.07638359546,0.07871617418,0.08022522861,0.08211745954,0.08390329042,0.08588198031,0.08742316017,0.08839978146,0.09001423895,0.09089975296,0.09243554185,0.09370792146,0.09444687021,0.09573684449,0.09654464829,0.09753800572,0.09835471926,0.09905625983,0.1002670732,0.101267404,0.1020849458,0.1032087537,0.1043921643,0.1054293641,0.1065366042,0.1074800385,0.10886822,0.1101825117,0.1117101636,0.1130158532,0.1141013576,0.1154863623,0.1165051576,0.1175512755,0.1192416907,0.1205379215,0.1216479081,0.1229025065,0.1240250988,0.125388301,0.1269495449,0.1282827741,0.1298315438,0.1306742749,0.1313537394,0.1327349921,0.1345910419,0.1358959427,0.1366818657,0.1373219621,0.138213403,0.1391237938,0.1400733045,0.1408675005,0.1415934626,0.141931674,0.1422766152,0.1434253816,0.1443978214,0.144630098,0.1451294694,0.1453135388,0.1456159711,0.146163119,0.1463411405,0.1465924999,0.1465019491,0.146817203,0.1473103184,0.1477501357,0.1479131872,0.1474787382,0.1472325472,0.1476891823,0.1482957436,0.1490310831,0.149186515,0.1494164791,0.149423027,0.149915732,0.1499660839,0.1502170052,0.1505375466,0.151034046,0.1517203708,0.1523907509,0.1526287613,0.1528479875,0.1527147062,0.1531018824,0.1535505954,0.1535901602,0.1536877369,0.1533703969,0.1540208111,0.1555427158,0.1562195208,0.156727341
2,33.46,35.4,0.08059854381,0.0540652665,0.04915002452,0.04753720086,0.04652495572,0.04603173231,0.04627622363,0.04688601645,0.04722978718,0.04861126665,0.04924246992,0.04990393497,0.05113448162,0.0523494443,0.05394485752,0.05527251307,0.05715349232,0.05902807094,0.06056061055,0.06187971349,0.06349250006,0.06600125283,0.06720055351,0.0691350081,0.07120960696,0.07265721151,0.07442098093,0.07666079445,0.07827997381,0.08007148702,0.08238640279,0.08393847021,0.08544056309,0.08686221075,0.08865670719,0.0903073481,0.09150866048,0.092727675,0.09397718237,0.09449582672,0.09554447979,0.09620776294,0.09720843896,0.09845081995,0.0992942953,0.1003643343,0.1008926446,0.1023610859,0.1035142062,0.1041396268,0.1056204521,0.106981872,0.107482635,0.1089058951,0.1100827861,0.1112912318,0.112820311,0.1142933252,0.1156021174,0.1162395619,0.1176578228,0.1186809522,0.1199791479,0.1214271304,0.1227728556,0.124476087,0.1258510109,0.1271271495,0.1283065742,0.1296190184,0.1306962644,0.1319591627,0.1333350496,0.1346358113,0.1357371124,0.1365479296,0.1375099946,0.138427197,0.1392746661,0.1396383725,0.14009088,0.1410327173,0.1415887632,0.1425757434,0.1432260489,0.1440201297,0.1445737137,0.1452343348,0.1457320778,0.1460295451,0.1462720164,0.1462412047,0.1461878528,0.1464110309,0.1466902587,0.1468255291,0.1470144045,0.1472543778,0.1473516889,0.147694737,0.148217014,0.1485823863,0.1485062353,0.1488267841,0.1494583296,0.1495057991,0.1498843212,0.1498375033,0.1496988669,0.14989499,0.1503944231,0.1511220577,0.1519320604,0.152293999,0.1528021855,0.152361524,0.1521576068,0.1532039816,0.153942435,0.1546100515,0.1546287242,0.1556087967,0.155545286,0.1548844535,0.1544850209
3,33.33,35,0.07802406939,0.0549724712,0.04905184866,0.04792012051,0.04688311688,0.04677495674,0.04683493138,0.04699639994,0.04756541027,0.04846457241,0.04868950915,0.04991564459,0.05143690129,0.05202704264,0.05437316967,0.05604988834,0.05731102287,0.05891988468,0.06088778381,0.0623721932,0.06429108923,0.06524421365,0.06721875495,0.06884160055,0.07090066505,0.07328450397,0.07483959405,0.07686708328,0.07854699204,0.080383267,0.08199549023,0.08384947447,0.08580425344,0.08712573817,0.08858802586,0.09011246485,0.09164484549,0.09266801106,0.094009085,0.09492253448,0.09579839791,0.0969468959,0.0978767274,0.09887493811,0.09975779942,0.1003664132,0.1015074767,0.1025401569,0.1037196685,0.1048173299,0.1057903342,0.107067058,0.1080290741,0.1093839865,0.1105748383,0.1118599089,0.1129956358,0.1150329643,0.1161272269,0.1170213114,0.1181748915,0.1192546614,0.1203834427,0.1219793673,0.1233264965,0.1245372676,0.125805014,0.1270875514,0.1289108076,0.1299600224,0.1309941243,0.1323442127,0.1339040154,0.1350038096,0.1363728045,0.137085317,0.1378176613,0.138432009,0.1390351375,0.1401432167,0.1411277677,0.1417643415,0.1424063984,0.1430400008,0.1435121508,0.1444929904,0.1448672387,0.1453723723,0.1462139189,0.1464222097,0.1468254298,0.1467412434,0.1471566428,0.1472983555,0.1473342567,0.1475301739,0.1479535824,0.1479255282,0.1478750575,0.148161919,0.1482247999,0.1483593809,0.148620825,0.1489950894,0.148675975,0.1494804934,0.1495788264,0.1499038898,0.150083068,0.1506276792,0.1509568482,0.151444524,0.1517966874,0.1525989682,0.1531934139,0.1532814381,0.1539901694,0.1544988275,0.1550118495,0.1546910436,0.154643108,0.1554054539,0.1559176393,0.1576449729,0.1578235266
4,33.32,35.3,0.07997298422,0.05533482614,0.049314171,0.04737276041,0.04702838764,0.04696293549,0.04676323071,0.04705131715,0.04808317939,0.04817827084,0.04897440608,0.05006986682,0.05160596957,0.05304442778,0.05437993487,0.0558130245,0.05754503167,0.05934326977,0.06106522586,0.06252852504,0.06417103171,0.06547279126,0.06735562646,0.06932003556,0.07135715157,0.07324163404,0.07487145431,0.07698393597,0.07891333313,0.08076343742,0.08243954758,0.08465636038,0.08639776736,0.08780102594,0.08932560482,0.09058250539,0.09183261441,0.09345126027,0.09425989213,0.09550956911,0.09620642737,0.09713547153,0.09816885434,0.09901992961,0.09992880908,0.1004221194,0.101635061,0.1030160466,0.1040821968,0.1053212014,0.1065683971,0.1077865216,0.1088100459,0.1096291571,0.1108379975,0.1119549742,0.1135701805,0.1150146295,0.1162460764,0.1174054478,0.1186280588,0.1201006916,0.1214771756,0.1226626408,0.1239499964,0.1254694724,0.1265546235,0.1279736973,0.1294754667,0.130255228,0.1311754465,0.1325592077,0.1338194125,0.1351914963,0.136504896,0.1379809959,0.1390070842,0.1398015216,0.1399980883,0.1405375594,0.1410483045,0.1423970624,0.1432900214,0.1436431543,0.1443197955,0.1450026223,0.1456999879,0.1463950712,0.1467581826,0.1469240623,0.147060028,0.1470555454,0.1473022884,0.1474152455,0.147568452,0.1480434408,0.14798663,0.147910943,0.1480189176,0.1483511063,0.1487720629,0.1491996091,0.1494598436,0.1498141936,0.1501797427,0.1504124135,0.1510850249,0.1513882801,0.1515634666,0.1518848067,0.1517876506,0.1519875785,0.1522560867,0.1524407274,0.1528328958,0.1528026782,0.1530845431,0.1532953843,0.1542303629,0.1550709169,0.15562388,0.1565044213,0.1568591968,0.1566344291,0.1561759631
5,33.23,35.5,0.08147394013,0.05482453704,0.04967651206,0.04765278506,0.04667500756,0.0465420266,0.04688565345,0.04672326711,0.04753255199,0.04893356296,0.04911346839,0.05006731301,0.0516766144,0.05254851714,0.05455561105,0.05599574041,0.05780812178,0.0593773789,0.06085180001,0.06257459298,0.06391188207,0.06613206613,0.0673745973,0.0692825007,0.07067753667,0.07299202358,0.07491170489,0.07674601276,0.07865708099,0.08065025444,0.08237421901,0.08400126912,0.08583757848,0.08740185249,0.08905279221,0.09010860146,0.09133243203,0.09292509934,0.09403618244,0.09505999648,0.09585736081,0.09714964903,0.09817216981,0.0982047838,0.09955693993,0.1004216587,0.1013194978,0.1026701923,0.1035890993,0.1047864359,0.1062033873,0.1070147068,0.1079552863,0.1091865932,0.1104681503,0.1117138318,0.1131554453,0.1148252145,0.1161833856,0.1172154439,0.1178351222,0.1191370895,0.1206181956,0.1218418468,0.122610036,0.1239754344,0.1257747442,0.1273631362,0.1290291242,0.1304014029,0.1311637724,0.132188423,0.1332908995,0.1349071905,0.1364198655,0.1372555257,0.1381424822,0.1388694643,0.1396277697,0.1404280462,0.140863168,0.1418490354,0.142490593,0.1436473941,0.1440263718,0.1446579552,0.145130111,0.1454385537,0.1457551656,0.1456855684,0.1461946193,0.146423953,0.14675787,0.1470530658,0.1472931329,0.1472944261,0.1473862282,0.147606411,0.1480735757,0.1483091081,0.1483194796,0.1485960079,0.1487832181,0.1494300989,0.1496568287,0.14970593,0.1498034251,0.150185689,0.1507091596,0.1513214639,0.1519030334,0.1524648502,0.1527678513,0.1531359604,0.1529397557,0.1526962979,0.1530068908,0.1538399956,0.1546443802,0.1551917487,0.1558965968,0.1564163262,0.1561946113,0.155435718,0.1552653132
6,33.16,35.4,0.07903598963,0.05527217358,0.04875711448,0.04790026499,0.04674064567,0.04631703307,0.04664404746,0.0471585135,0.04732836083,0.04844823971,0.04931223354,0.05045546549,0.05143543593,0.05325902206,0.05431938649,0.05540616362,0.05714425178,0.05874288422,0.06057397153,0.06221336161,0.06389725194,0.0656117576,0.06722267051,0.06917852614,0.07131581968,0.07315668636,0.07492285445,0.07674342514,0.07872898627,0.07983477106,0.08186042146,0.08362384986,0.08568060809,0.08709877006,0.08844864399,0.08997964376,0.09079300862,0.09208693021,0.09309575259,0.094385467,0.09485909383,0.0965243197,0.09708618453,0.09843550899,0.09886583272,0.09969415429,0.1009294739,0.1022334882,0.1033154997,0.1045135039,0.1056809247,0.1066385481,0.1073082431,0.109019262,0.1100738216,0.111527109,0.1131983815,0.1144252354,0.11558351,0.1162450757,0.1178430061,0.1191952621,0.1201694387,0.1213322362,0.1224737876,0.1245659488,0.1257467639,0.1264996984,0.1280160634,0.1292468961,0.1304091761,0.1318178176,0.1330874858,0.1338957887,0.1353412045,0.1364447336,0.1373176161,0.1383689127,0.1389570225,0.1396373804,0.1405388683,0.1412508032,0.1414586328,0.1420332656,0.1428743868,0.1439712092,0.1446205445,0.1444895598,0.1450041516,0.1455292973,0.1461845974,0.1464378822,0.1466333526,0.1466160703,0.1470409876,0.1467539662,0.1466795524,0.1468446764,0.1474965549,0.1476276137,0.1480044282,0.1483440649,0.1486853203,0.1489538388,0.1492766739,0.1493165529,0.1500823794,0.1501908252,0.1507451247,0.1512528082,0.151637146,0.1524142397,0.152539349,0.1528634869,0.1532591323,0.1537459916,0.1539317828,0.1539956612,0.1540207024,0.1542276163,0.1556267391,0.1564848402,0.1568720281,0.1572755275,0.1566837316
7,33.05,35.1,0.07909177722,0.05530979272,0.04845996619,0.04768359656,0.04612773628,0.04603637697,0.04587477144,0.04707215322,0.04702586313,0.04808594616,0.04890720681,0.05004229192,0.05116057125,0.05272636129,0.05414481718,0.05554135133,0.0570422134,0.05871699958,0.06045978707,0.06209678792,0.06375766767,0.06561358808,0.06708515253,0.0693915667,0.07134687416,0.07317211712,0.07496693053,0.07666406246,0.07856517076,0.08026745443,0.08186623708,0.08380751927,0.0848570734,0.08667804812,0.08854354318,0.08955308231,0.09136560755,0.09265677033,0.09333704323,0.09474848065,0.09528854227,0.09649393253,0.09721999974,0.09829210748,0.09917794907,0.1000817445,0.1011826729,0.1021375043,0.1031091133,0.104335034,0.1057528756,0.1064736598,0.1073859212,0.1081718236,0.1098616127,0.1116311988,0.1130128888,0.1141405793,0.1153727437,0.1165446743,0.1176216374,0.1189522953,0.1199663551,0.1214202065,0.12251595,0.1243640242,0.1254056139,0.1270442006,0.1282483729,0.1293432572,0.130575085,0.1320235028,0.1332847819,0.1345064725,0.1355797714,0.1371744054,0.1379412554,0.1381183244,0.1388861795,0.1393263658,0.1402403928,0.1412818674,0.1421475969,0.1430533194,0.1433989429,0.1436549099,0.1444422948,0.1451337994,0.1458521598,0.1458380098,0.1459778838,0.1463382606,0.1463515715,0.1464284761,0.146500679,0.1470703047,0.1477616296,0.148185727,0.1487067971,0.1492437276,0.1492845067,0.1492236299,0.1494575245,0.1495497683,0.1493902735,0.1494834642,0.1502583506,0.1507074779,0.1512084999,0.1519018826,0.1523699285,0.1521958472,0.1525138899,0.1529065498,0.1529448848,0.1533812293,0.1540784862,0.1544148349,0.1545049101,0.154752816,0.1545002619,0.1544651635,0.1547174009,0.1558240273,0.1557950286
8,32.96,35,0.08028857492,0.05401074477,0.04896475535,0.04734113712,0.0467602411,0.04632025917,0.04678251237,0.04681658841,0.0471551927,0.04871050794,0.04953972956,0.05004480222,0.05117817325,0.0525152588,0.05434056353,0.05592819738,0.05678141214,0.05921935773,0.06061441107,0.06213752658,0.06405834539,0.06570267389,0.06768179128,0.06936206729,0.0714005542,0.07324035545,0.07464978879,0.07659358316,0.07813219549,0.08035077738,0.0821919286,0.08412996405,0.08565692677,0.08743290265,0.08898047193,0.09055512473,0.09115573894,0.09295698925,0.0937813521,0.09510340284,0.09637173182,0.0965875355,0.09773470529,0.098541593,0.09985834936,0.1005271266,0.101362824,0.1025625211,0.1039016918,0.1052686102,0.1061729012,0.1070609084,0.1081615146,0.1093521771,0.1106708424,0.1118877698,0.1131953486,0.1148812979,0.1160331399,0.1173348658,0.1183759543,0.1195705574,0.1212521802,0.1225963593,0.1236590989,0.1246555127,0.1262875223,0.1279089855,0.1289092527,0.1302098895,0.1317268433,0.1327184147,0.1335193318,0.1347713871,0.1361470618,0.1372490309,0.138011945,0.1390147311,0.1402836705,0.1409577178,0.1412204448,0.1418964677,0.1430438326,0.1440514614,0.1449827071,0.1452104409,0.1457584938,0.1467006698,0.1468716957,0.1470338876,0.1469609853,0.1471922675,0.147621521,0.1476857123,0.1477547301,0.147561493,0.1477785787,0.1480894747,0.1483965375,0.148700976,0.1491953289,0.1495898829,0.1498601958,0.1506857379,0.1508984188,0.1508878848,0.1507230235,0.1508153755,0.1506816325,0.1506894361,0.1515242965,0.1516268847,0.1520364176,0.1523632482,0.1522930195,0.1523175069,0.1523684925,0.1529271184,0.153448289,0.1541875115,0.1546432531,0.1545778443,0.153963254,0.1526492727,0.1523212786
